	English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
465	amour	0	1	0	0	1	0	1	0	0	1
467	amphetamines	0	0	1	0	0	1	0	0	0	0
477	amuse	0	0	0	0	1	0	1	0	0	0
478	amused	0	0	0	0	1	0	1	0	0	0
479	amusement	0	0	0	0	1	0	1	0	0	0
480	amusing	0	0	0	0	1	0	1	0	0	0
482	anaconda	0	0	1	1	0	1	0	0	0	0
485	anal	0	0	0	0	0	1	0	0	0	0
491	analyst	0	1	0	0	0	0	1	0	0	1
495	anarchism	1	0	0	1	0	1	0	0	0	0
496	anarchist	1	0	0	1	0	1	0	0	0	0
497	anarchy	1	0	0	1	0	1	0	0	0	0
499	anathema	1	0	1	1	0	1	0	1	0	0
503	ancestral	0	0	0	0	0	0	0	0	0	1
505	anchor	0	0	0	0	0	0	1	0	0	0
506	anchorage	0	0	0	0	0	0	1	1	0	0
507	ancient	0	0	0	0	0	1	0	0	0	0
512	angel	0	1	0	0	1	0	1	0	1	1
513	angelic	0	0	0	0	1	0	1	0	0	1
514	anger	1	0	0	0	0	1	0	0	0	0
515	angina	0	0	0	1	0	1	0	0	0	0
518	angling	0	1	0	0	0	1	0	0	0	0
519	angry	1	0	1	0	0	1	0	0	0	0
520	anguish	1	0	0	1	0	1	0	1	0	0
524	animate	0	0	0	0	0	0	1	0	0	0
525	animated	0	0	0	0	1	0	1	0	0	0
527	animosity	1	0	1	1	0	1	0	1	0	0
528	animus	1	0	0	0	0	1	0	0	0	0
534	annihilate	1	0	0	1	0	1	0	0	0	0
535	annihilated	1	0	0	1	0	1	0	1	0	0
536	annihilation	1	0	0	1	0	1	0	1	0	0
540	announcement	0	1	0	0	0	0	0	0	0	0
541	annoy	1	0	1	0	0	1	0	0	0	0
542	annoyance	1	0	1	0	0	1	0	0	0	0
543	annoying	1	0	0	0	0	1	0	0	0	0
545	annul	0	0	0	0	0	1	0	0	0	0
547	annulment	0	0	0	0	0	1	0	1	0	0
551	anomaly	0	0	0	1	0	1	0	0	1	0
553	anonymous	0	0	0	0	0	1	0	0	0	0
555	answerable	0	0	0	0	0	0	0	0	0	1
558	antagonism	1	0	0	0	0	1	0	0	0	0
559	antagonist	1	0	0	0	0	1	0	0	0	0
560	antagonistic	1	0	1	0	0	1	0	0	0	0
568	anthrax	0	0	1	1	0	1	0	1	0	0
571	antibiotics	0	0	0	0	0	0	1	0	0	0
572	antichrist	1	0	1	1	0	1	0	0	0	0
573	anticipation	0	1	0	0	0	0	0	0	0	0
574	anticipatory	0	1	0	0	0	0	0	0	0	0
575	antidote	0	1	0	0	0	0	1	0	0	1
576	antifungal	0	0	0	0	0	0	1	0	0	1
578	antipathy	1	0	1	0	0	1	0	0	0	0
580	antiquated	0	0	0	0	0	1	0	0	0	0
581	antique	0	0	0	0	0	0	1	0	0	0
583	antiseptic	0	0	0	0	0	0	1	0	0	1
584	antisocial	1	0	1	1	0	1	0	1	0	0
585	antithesis	1	0	0	0	0	1	0	0	0	0
590	anxiety	1	1	0	1	0	1	0	1	0	0
591	anxious	0	1	0	1	0	1	0	0	0	0
594	apache	0	0	0	1	0	1	0	0	0	0
596	apathetic	0	0	0	0	0	1	0	1	0	0
597	apathy	0	0	0	0	0	1	0	1	0	0
601	aphid	0	0	1	0	0	1	0	0	0	0
603	aplomb	0	0	0	0	0	0	1	0	0	0
605	apologetic	0	0	0	0	0	0	1	0	0	1
607	apologize	0	0	0	0	0	0	1	1	0	1
608	apology	0	0	0	0	0	0	1	0	0	0
611	apostle	0	0	0	0	0	0	1	0	0	1
612	apostolic	0	0	0	0	0	0	0	0	0	1
614	appalling	0	0	1	1	0	1	0	0	0	0
618	apparition	0	0	0	1	0	0	0	0	1	0
619	appeal	0	1	0	0	0	0	0	0	0	0
625	appendicitis	0	0	0	1	0	1	0	1	0	0
629	applause	0	0	0	0	1	0	1	0	1	1
635	applicant	0	1	0	0	0	0	0	0	0	0
645	appreciation	0	0	0	0	1	0	1	0	0	1
646	apprehend	0	0	0	1	0	0	0	0	0	0
647	apprehension	0	0	0	1	0	1	0	0	0	0
648	apprehensive	0	1	0	1	0	1	0	0	0	0
649	apprentice	0	0	0	0	0	0	0	0	0	1
652	approaching	0	1	0	0	0	0	0	0	0	0
653	approbation	0	0	0	0	0	0	1	0	0	1
654	appropriation	0	0	0	0	0	1	0	0	0	0
655	approval	0	0	0	0	0	0	1	0	0	0
656	approve	0	0	0	0	1	0	1	0	0	1
657	approving	0	0	0	0	0	0	1	0	0	0
664	apt	0	0	0	0	0	0	1	0	0	0
665	aptitude	0	0	0	0	0	0	1	0	0	0
673	arbiter	0	0	0	0	0	0	0	0	0	1
675	arbitration	0	1	0	0	0	0	0	0	0	0
676	arbitrator	0	0	0	0	0	0	0	0	0	1
683	archaeology	0	1	0	0	0	0	1	0	0	0
684	archaic	0	0	0	0	0	1	0	0	0	0
692	architecture	0	0	0	0	0	0	0	0	0	1
695	ardent	0	1	0	0	1	0	1	0	0	0
696	ardor	0	0	0	0	0	0	1	0	0	0
697	arduous	0	0	0	0	0	1	0	0	0	0
702	argue	1	0	0	0	0	1	0	0	0	0
703	argument	1	0	0	0	0	1	0	0	0	0
704	argumentation	1	0	0	0	0	0	0	0	0	0
705	argumentative	0	0	0	0	0	1	0	0	0	0
706	arguments	1	0	0	0	0	0	0	0	0	0
707	arid	0	0	0	0	0	1	0	1	0	0
708	aristocracy	0	0	0	0	0	0	1	0	0	0
710	aristocratic	0	0	0	0	0	0	1	0	0	0
715	armament	1	0	0	1	0	0	0	0	0	0
716	armaments	0	0	0	1	0	1	0	0	0	0
718	armed	1	0	0	1	0	1	1	0	0	0
719	armor	0	0	0	1	0	0	1	0	0	1
720	armored	0	0	0	1	0	0	0	0	0	0
721	armory	0	0	0	0	0	0	0	0	0	1
724	aroma	0	0	0	0	0	0	1	0	0	0
726	arouse	0	1	0	0	0	0	1	0	0	0
727	arraignment	1	0	0	1	0	1	0	1	0	0
731	array	0	0	0	0	0	0	1	0	0	0
732	arrears	0	0	0	0	0	1	0	0	0	0
733	arrest	0	0	0	0	0	1	0	0	0	0
734	arrival	0	1	0	0	0	0	0	0	0	0
735	arrive	0	1	0	0	0	0	0	0	0	0
736	arrogance	0	0	0	0	0	1	0	0	0	0
737	arrogant	1	0	1	0	0	1	0	0	0	0
740	arsenic	0	0	1	1	0	1	0	1	0	0
741	arson	1	0	0	1	0	1	0	0	0	0
742	art	0	1	0	0	1	0	1	1	1	0
749	articulate	0	0	0	0	0	0	1	0	0	0
750	articulation	0	0	0	0	0	0	1	0	0	0
752	artillery	0	0	0	1	0	1	0	0	0	0
753	artisan	0	0	0	0	0	0	1	0	0	0
755	artiste	0	0	0	0	0	0	1	0	0	0
756	artistic	0	0	0	0	0	0	1	0	0	0
759	ascendancy	0	0	0	0	0	0	1	0	0	0
761	ascent	0	0	0	0	0	0	1	0	0	0
765	ash	0	0	0	0	0	1	0	0	0	0
766	ashamed	0	0	1	0	0	1	0	1	0	0
767	ashes	0	0	0	0	0	1	0	1	0	0
769	asp	0	0	0	1	0	0	0	0	0	0
774	aspiration	0	1	0	0	1	0	1	0	1	1
775	aspire	0	1	0	0	1	0	1	0	0	0
776	aspiring	0	1	0	0	1	0	1	0	0	1
777	ass	0	0	0	0	0	1	0	0	0	0
778	assail	1	0	0	1	0	1	0	0	1	0
779	assailant	1	0	0	1	0	1	0	1	0	0
780	assassin	1	0	0	1	0	1	0	1	0	0
781	assassinate	1	0	0	1	0	1	0	0	0	0
782	assassination	1	0	0	1	0	1	0	1	0	0
783	assault	1	0	0	1	0	1	0	0	0	0
788	assembly	0	0	0	0	0	0	1	0	0	1
789	assent	0	0	0	0	0	0	1	0	0	0
791	asserting	0	0	0	0	0	0	1	0	0	1
794	assessment	0	0	0	0	0	0	0	0	1	1
795	assessor	0	0	0	0	0	0	0	0	0	1
796	assets	0	0	0	0	0	0	1	0	0	0
797	asshole	1	0	1	0	0	1	0	0	0	0
799	assignee	0	0	0	0	0	0	0	0	0	1
803	assist	0	0	0	0	0	0	1	0	0	1
804	assistance	0	0	0	0	0	0	1	0	0	0
806	associate	0	0	0	0	0	0	1	0	0	1
807	association	0	0	0	0	0	0	0	0	0	1
810	assuage	0	0	0	0	0	0	1	0	0	0
814	assurance	0	0	0	0	0	0	1	0	0	1
815	assure	0	0	0	0	0	0	0	0	0	1
816	assured	0	0	0	0	0	0	1	0	0	1
817	assuredly	0	0	0	0	0	0	0	0	0	1
821	astonishingly	0	0	0	0	0	0	1	0	1	0
822	astonishment	0	0	0	0	1	0	1	0	1	0
824	astray	0	0	0	1	0	1	0	0	0	0
825	astringent	0	0	0	0	0	1	0	0	0	0
826	astrologer	0	1	0	0	0	0	1	0	0	0
828	astronaut	0	0	0	0	0	0	1	0	0	0
829	astronomer	0	1	0	0	0	0	1	0	0	0
831	astute	0	0	0	0	0	0	1	0	0	0
833	asylum	0	0	0	1	0	1	0	0	0	0
835	asymmetry	0	0	1	0	0	0	0	0	0	0
838	atheism	0	0	0	0	0	1	0	0	0	0
840	atherosclerosis	0	0	0	1	0	1	0	1	0	0
841	athlete	0	0	0	0	0	0	1	0	0	0
842	athletic	0	0	0	0	0	0	1	0	0	0
849	atom	0	0	0	0	0	0	1	0	0	0
851	atone	0	1	0	0	1	0	1	0	0	1
852	atonement	0	0	0	0	0	0	1	0	0	0
854	atrocious	1	0	1	0	0	1	0	0	0	0
855	atrocity	1	0	1	1	0	1	0	1	0	0
856	atrophy	0	0	1	1	0	1	0	1	0	0
858	attachment	0	0	0	0	0	0	1	0	0	0
859	attack	1	0	0	1	0	1	0	0	0	0
860	attacking	1	0	1	1	0	1	0	1	1	0
862	attainable	0	1	0	0	0	0	1	0	0	0
863	attainment	0	0	0	0	0	0	1	0	0	0
864	attempt	0	1	0	0	0	0	0	0	0	0
865	attendance	0	1	0	0	0	0	0	0	0	0
866	attendant	0	0	0	0	0	0	1	0	0	1
867	attention	0	0	0	0	0	0	1	0	0	0
868	attentive	0	0	0	0	0	0	1	0	0	1
870	attenuated	0	0	0	0	0	1	0	0	0	0
871	attenuation	0	0	0	0	0	1	0	1	0	0
872	attest	0	0	0	0	0	0	1	0	0	1
873	attestation	0	0	0	0	0	0	0	0	0	1
877	attorney	1	0	0	1	0	0	1	0	0	1
878	attraction	0	0	0	0	0	0	1	0	0	0
879	attractiveness	0	0	0	0	0	0	1	0	0	0
885	auction	0	1	0	0	0	0	0	0	0	0
888	audacity	0	0	0	0	0	1	0	0	0	0
890	audience	0	1	0	0	0	0	0	0	0	0
893	auditor	0	0	0	1	0	0	0	0	0	1
897	augment	0	0	0	0	0	0	1	0	0	0
899	august	0	0	0	0	0	0	1	0	0	0
900	aunt	0	0	0	0	0	0	1	0	0	1
901	aura	0	0	0	0	0	0	1	0	0	0
904	auspicious	0	1	0	0	1	0	1	0	0	0
905	austere	0	0	0	1	0	1	0	1	0	0
906	austerity	0	0	0	0	0	1	0	0	0	0
907	authentic	0	0	0	0	1	0	1	0	0	1
908	authenticate	0	0	0	0	0	0	0	0	0	1
909	authentication	0	0	0	0	0	0	0	0	0	1
910	authenticity	0	0	0	0	0	0	1	0	0	1
911	author	0	0	0	0	0	0	1	0	0	1
912	authoritative	0	0	0	0	0	0	1	0	0	1
913	authority	0	0	0	0	0	0	1	0	0	1
914	authorization	0	0	0	0	0	0	1	0	0	1
915	authorize	0	0	0	0	0	0	0	0	0	1
916	authorized	0	0	0	0	0	0	1	0	0	0
920	autocratic	0	0	0	0	0	1	0	0	0	0
922	automatic	0	0	0	0	0	0	0	0	0	1
925	autopsy	0	0	1	1	0	1	0	1	0	0
929	avalanche	0	0	0	1	0	1	0	1	1	0
930	avarice	1	0	1	0	0	1	0	0	0	0
931	avatar	0	0	0	0	0	0	1	0	0	0
932	avenger	1	0	0	0	0	1	0	0	0	0
936	averse	1	0	1	1	0	1	0	0	0	0
937	aversion	1	0	1	1	0	1	0	0	0	0
944	avoid	0	0	0	1	0	1	0	0	0	0
945	avoidance	0	0	0	1	0	1	0	0	0	0
946	avoiding	0	0	0	1	0	0	0	0	0	0
947	await	0	1	0	0	0	0	0	0	0	0
950	award	0	1	0	0	1	0	1	0	1	1
952	awful	1	0	1	1	0	1	0	1	0	0
953	awkwardness	0	0	1	0	0	1	0	0	0	0
955	awry	0	0	0	0	0	1	0	0	0	0
957	axiom	0	0	0	0	0	0	0	0	0	1
958	axiomatic	0	0	0	0	0	0	0	0	0	1
961	ay	0	0	0	0	0	0	1	0	0	0
962	aye	0	0	0	0	0	0	1	0	0	0
965	babble	0	0	0	0	0	1	0	0	0	0
966	babbling	0	0	0	0	0	1	0	0	0	0
